,Area,Area,Area,Area,Area
,count,sum,mean,std,sem
48.0,31.0,0.00127825,4.1233870967741935e-05,6.164691301692348e-05,1.1072112431422864e-05
49.0,39.0,0.02764351,0.0007088079487179487,0.003840768694257069,0.0006150152002037596
50.0,26.0,0.00085214,3.2774615384615385e-05,2.3709474769512583e-05,4.649810557953094e-06
51.0,24.0,0.00093349,3.889541666666667e-05,2.8656609675251366e-05,5.8495059552057834e-06
52.0,41.0,0.00337974,8.243268292682926e-05,0.0003079714675260063,4.809706263789109e-05
53.0,40.0,0.00172473,4.311825e-05,3.351164412157018e-05,5.298656178057719e-06
54.0,36.0,0.015460930000000001,0.0004294702777777778,0.002326806020748474,0.00038780100345807905
55.0,40.0,0.0018261500000000001,4.565375e-05,7.49093301739869e-05,1.1844205067368794e-05
56.0,28.0,0.00091306,3.260928571428572e-05,2.610038681827325e-05,4.932509474552815e-06
57.0,28.0,0.00117687,4.203107142857143e-05,2.061488788505112e-05,3.895847617808825e-06
58.0,20.0,0.00071015,3.55075e-05,1.847334434572662e-05,4.130765372880609e-06
59.0,29.0,0.00148114,5.1073793103448276e-05,5.162086541131219e-05,9.585754059545696e-06
60.0,39.0,0.00542028,0.00013898153846153848,0.0006350485815089412,0.00010168915693356615
61.0,26.0,0.00095359,3.6676538461538466e-05,2.296338109988295e-05,4.503489551014266e-06
62.0,58.0,0.00231313,3.9881551724137933e-05,3.268816566806544e-05,4.292166430601322e-06
63.0,57.0,0.00239429,4.2005087719298244e-05,4.756581925240942e-05,6.300246669012369e-06
64.0,36.0,0.00176533,4.903694444444445e-05,2.294923052795882e-05,3.824871754659803e-06
65.0,67.0,0.00922624,0.00013770507462686568,0.0007277135047538493,8.890435452635726e-05
66.0,57.0,0.00304334,5.33919298245614e-05,5.265875413718693e-05,6.974822373743683e-06
67.0,62.0,0.0026580600000000003,4.2871935483870974e-05,3.1839722115452135e-05,4.043648752313195e-06
68.0,47.0,0.00166379,3.539978723404255e-05,2.2966320377737418e-05,3.349982126636591e-06
69.0,40.0,0.00156223,3.9055749999999996e-05,3.162245403859538e-05,4.999948998297576e-06
70.0,49.0,0.00198848,4.058122448979592e-05,2.4152383649846814e-05,3.4503405214066878e-06
71.0,48.0,0.00221167,4.607645833333334e-05,2.3951084947626897e-05,3.4570413354739956e-06
72.0,65.0,0.00334787,5.150569230769231e-05,3.7634424316758805e-05,4.667975831546831e-06
73.0,58.0,0.00310451,5.3526034482758624e-05,2.8111992192860003e-05,3.6912854154248165e-06
74.0,52.0,0.00261752,5.033692307692307e-05,2.1451133571990516e-05,2.9747370004091847e-06
75.0,38.0,0.03135363,0.0008250955263157895,0.004695223555572597,0.0007616658377116184
76.0,54.0,0.00765209,0.00014170537037037039,0.0005425134282094741,7.382672654006915e-05
77.0,36.0,0.00168424,4.678444444444445e-05,2.8628350827651795e-05,4.771391804608633e-06
78.0,61.0,0.0042204,6.918688524590165e-05,0.00011862739761596649,1.5188681865307413e-05
79.0,77.0,0.00355066,4.6112467532467536e-05,2.6457875464487445e-05,3.0151547398303004e-06
80.0,89.0,0.00448415,5.038370786516854e-05,3.581759754715622e-05,3.796657746690659e-06
81.0,68.0,0.00302314,4.445794117647059e-05,3.630259003789091e-05,4.402335682638813e-06
82.0,64.0,0.00347538,5.43028125e-05,0.00012170322901989515,1.5212903627486894e-05
83.0,64.0,0.00334785,5.231015625e-05,5.2361358813542994e-05,6.545169851692874e-06
84.0,48.0,0.0021914,4.565416666666667e-05,3.588878588754808e-05,5.180100048266181e-06
85.0,42.0,0.00223195,5.3141666666666666e-05,5.910546427286204e-05,9.120171138367352e-06
86.0,54.0,0.0241857,0.00044788333333333337,0.0028502480591192773,0.00038786963251112957
87.0,73.0,0.00369286,5.058712328767123e-05,6.906702186764061e-05,8.083683472808892e-06
88.0,88.0,0.008347760000000001,9.48609090909091e-05,0.0005299367627067682,5.649144871612807e-05
89.0,74.0,0.0076174300000000006,0.00010293824324324325,0.0005784708455952823,6.724586988259204e-05
90.0,58.0,0.00206968,3.568413793103448e-05,2.902631655502591e-05,3.8113420858975626e-06
91.0,43.0,0.00156234,3.633348837209302e-05,2.238379652930525e-05,3.413496969334969e-06
92.0,65.0,0.00211026,3.246553846153846e-05,1.9254385136148958e-05,2.3882125500406363e-06
93.0,40.0,0.0012174,3.0435e-05,1.6566715627023562e-05,2.6194277364849498e-06
94.0,77.0,0.00271883,3.530948051948052e-05,3.913957321984812e-05,4.460368326518099e-06
95.0,84.0,0.00284075,3.381845238095238e-05,3.5126741280649774e-05,3.832641686564467e-06
96.0,84.0,0.00265801,3.164297619047619e-05,2.190075829571061e-05,2.3895686349291887e-06
97.0,26.0,0.00087247,3.355653846153846e-05,1.5120946251424265e-05,2.9654615384615384e-06
98.0,43.0,0.00140011,3.25606976744186e-05,2.1306236667469746e-05,3.249170630957256e-06
99.0,31.0,0.0009333400000000001,3.0107741935483873e-05,1.373236607670055e-05,2.4664057567480406e-06
Mean,50.6,0.0039595187,8.0029614650518e-05,0.00026625321418456905,3.898028532297368e-05
Std,17.2181487525415,0.005630625441722531,0.00012679329171760094,0.0007672894588442073,0.00011771419965459828
SEM,1.7218148752541498,0.0005630625441722531,1.2679329171760094e-05,7.672894588442074e-05,1.177141996545983e-05
