 ,Label,Area,Mean,Min,Max,X,Y,
178,,2.029E-5,255,255,255,5.984,0.241,
179,,2.029E-5,255,255,255,3.011,0.245,
180,,2.029E-5,255,255,255,5.998,0.245,
181,,2.029E-5,255,255,255,2.998,0.250,
182,,4.058E-5,255,255,255,3.099,0.250,
183,,2.029E-5,255,255,255,6.011,0.250,
184,,2.029E-5,255,255,255,2.989,0.255,
185,,2.029E-5,255,255,255,6.025,0.255,
186,,2.029E-5,255,255,255,2.975,0.259,
187,,1.420E-4,255,255,255,3.412,0.264,
188,,2.029E-5,255,255,255,6.038,0.259,
189,,2.029E-5,255,255,255,2.962,0.264,
190,,2.029E-5,255,255,255,6.047,0.264,
191,,2.029E-5,255,255,255,2.948,0.268,
192,,8.116E-5,255,255,255,6.068,0.271,
193,,2.029E-5,255,255,255,2.939,0.273,
194,,2.029E-5,255,255,255,2.926,0.277,
195,,4.058E-5,255,255,255,3.419,0.277,
196,,2.029E-5,255,255,255,6.088,0.277,
197,,2.029E-5,255,255,255,2.912,0.282,
198,,2.029E-5,255,255,255,6.097,0.282,
199,,2.029E-5,255,255,255,2.903,0.286,
200,,2.029E-5,255,255,255,6.110,0.286,
201,,2.029E-5,255,255,255,2.890,0.291,
202,,4.058E-5,255,255,255,5.347,0.291,
203,,2.029E-5,255,255,255,6.119,0.291,
204,,2.029E-5,255,255,255,2.881,0.295,
205,,4.058E-5,255,255,255,4.270,0.295,
206,,2.029E-5,255,255,255,6.133,0.295,
207,,2.029E-5,255,255,255,2.867,0.300,
208,,2.029E-5,255,255,255,6.146,0.300,
209,,2.029E-5,255,255,255,2.854,0.304,
210,,2.029E-5,255,255,255,6.155,0.304,
211,,2.029E-5,255,255,255,2.845,0.309,
212,,1.623E-4,255,255,255,3.545,0.311,
213,,1.420E-4,255,255,255,4.570,0.310,
214,,2.029E-5,255,255,255,6.169,0.309,
215,,2.029E-5,255,255,255,2.831,0.313,
216,,4.058E-5,255,255,255,4.653,0.313,
217,,4.058E-5,255,255,255,5.847,0.313,
218,,2.029E-5,255,255,255,6.178,0.313,
219,,2.029E-5,255,255,255,2.822,0.318,
220,,2.029E-5,255,255,255,6.191,0.318,
221,,2.029E-5,255,255,255,2.809,0.322,
222,,2.029E-5,255,255,255,6.200,0.322,
223,,2.029E-5,255,255,255,2.800,0.327,
224,,4.058E-5,255,255,255,4.752,0.327,
225,,8.116E-5,255,255,255,4.779,0.329,
226,,2.029E-5,255,255,255,6.214,0.327,
227,,2.029E-5,255,255,255,2.791,0.331,
228,,2.029E-5,255,255,255,6.223,0.331,
229,,2.029E-5,255,255,255,2.777,0.336,
230,,2.029E-5,255,255,255,6.236,0.336,
231,,2.029E-5,255,255,255,2.768,0.340,
232,,4.058E-5,255,255,255,3.054,0.340,
233,,4.058E-5,255,255,255,4.432,0.340,
234,,2.029E-5,255,255,255,6.245,0.340,
235,,2.029E-5,255,255,255,2.755,0.345,
236,,2.029E-5,255,255,255,6.255,0.345,
237,,2.029E-5,255,255,255,2.745,0.349,
238,,4.058E-5,255,255,255,5.351,0.349,
239,,2.029E-5,255,255,255,6.268,0.349,
240,,2.029E-5,255,255,255,2.736,0.354,
241,,4.058E-5,255,255,255,5.842,0.354,
242,,2.029E-5,255,255,255,6.277,0.354,
243,,2.029E-5,255,255,255,2.723,0.358,
244,,4.058E-5,255,255,255,4.536,0.358,
245,,2.029E-5,255,255,255,6.286,0.358,
246,,2.029E-5,255,255,255,2.714,0.363,
247,,2.029E-5,255,255,255,6.300,0.363,
248,,2.029E-5,255,255,255,2.705,0.367,
249,,4.058E-5,255,255,255,4.410,0.367,
250,,2.029E-5,255,255,255,6.309,0.367,
251,,2.029E-5,255,255,255,2.691,0.372,
252,,4.058E-5,255,255,255,3.775,0.372,
253,,2.029E-5,255,255,255,6.318,0.372,
254,,2.029E-5,255,255,255,2.682,0.376,
255,,4.058E-5,255,255,255,4.667,0.376,
256,,4.058E-5,255,255,255,4.766,0.376,
257,,1.015E-4,255,255,255,5.309,0.379,
258,,8.116E-5,255,255,255,5.347,0.378,
259,,2.029E-5,255,255,255,6.331,0.376,
260,,2.029E-5,255,255,255,2.673,0.381,
261,,6.087E-5,255,255,255,2.858,0.381,
262,,4.058E-5,255,255,255,4.491,0.381,
263,,6.087E-5,255,255,255,4.507,0.381,
264,,2.029E-5,255,255,255,6.340,0.381,
265,,2.029E-5,255,255,255,2.664,0.385,
266,,4.058E-5,255,255,255,5.275,0.385,
267,,2.029E-5,255,255,255,6.349,0.385,
268,,2.029E-5,255,255,255,2.651,0.390,
269,,2.029E-5,255,255,255,6.358,0.390,
270,,2.029E-5,255,255,255,2.642,0.394,
271,,4.058E-5,255,255,255,5.351,0.394,
272,,2.029E-5,255,255,255,6.367,0.394,
273,,2.029E-5,255,255,255,2.633,0.399,
274,,2.029E-5,255,255,255,6.381,0.399,
275,,2.029E-5,255,255,255,2.624,0.403,
276,,4.058E-5,255,255,255,3.450,0.403,
277,,2.029E-5,255,255,255,6.390,0.403,
278,,2.029E-5,255,255,255,2.615,0.408,
279,,4.058E-5,255,255,255,4.324,0.408,
280,,4.058E-5,255,255,255,4.500,0.408,
281,,4.058E-5,255,255,255,5.383,0.408,
282,,2.029E-5,255,255,255,6.399,0.408,
283,,2.029E-5,255,255,255,2.601,0.412,
284,,4.058E-5,255,255,255,4.140,0.412,
285,,2.029E-5,255,255,255,6.408,0.412,
286,,2.029E-5,255,255,255,2.592,0.417,
287,,2.029E-5,255,255,255,6.417,0.417,
288,,2.029E-5,255,255,255,2.583,0.421,
289,,4.058E-5,255,255,255,5.077,0.421,
290,,6.087E-5,255,255,255,6.146,0.421,
291,,2.029E-5,255,255,255,6.426,0.421,
292,,2.029E-5,255,255,255,2.574,0.426,
293,,2.029E-5,255,255,255,6.439,0.426,
294,,2.029E-5,255,255,255,2.565,0.430,
295,,4.058E-5,255,255,255,4.369,0.430,
296,,2.029E-5,255,255,255,6.448,0.430,
297,,2.029E-5,255,255,255,2.556,0.435,
298,,4.058E-5,255,255,255,3.068,0.435,
299,,2.029E-5,255,255,255,6.457,0.435,
300,,2.029E-5,255,255,255,2.547,0.439,
301,,4.058E-5,255,255,255,4.320,0.439,
302,,2.029E-5,255,255,255,6.466,0.439,
303,,2.029E-5,255,255,255,2.538,0.444,
304,,2.029E-5,255,255,255,6.475,0.444,
305,,2.029E-5,255,255,255,2.529,0.448,
306,,8.116E-5,255,255,255,3.117,0.448,
307,,4.058E-5,255,255,255,5.252,0.448,
308,,2.029E-5,255,255,255,6.484,0.448,
309,,2.029E-5,255,255,255,2.520,0.453,
310,,2.029E-5,255,255,255,6.493,0.453,
311,,2.029E-5,255,255,255,2.511,0.457,
312,,4.058E-5,255,255,255,4.491,0.457,
313,,2.029E-5,255,255,255,6.502,0.457,
314,,2.029E-5,255,255,255,2.502,0.462,
315,,4.058E-5,255,255,255,3.914,0.462,
316,,2.029E-5,255,255,255,6.511,0.462,
317,,2.029E-5,255,255,255,2.493,0.466,
318,,2.029E-5,255,255,255,6.520,0.466,
319,,2.029E-5,255,255,255,2.484,0.471,
320,,2.029E-5,255,255,255,6.529,0.471,
321,,2.029E-5,255,255,255,2.475,0.475,
322,,2.029E-5,255,255,255,6.538,0.475,
323,,2.029E-5,255,255,255,2.466,0.480,
324,,2.029E-5,255,255,255,6.547,0.480,
325,,2.029E-5,255,255,255,2.457,0.484,
326,,6.087E-5,255,255,255,3.007,0.484,
327,,4.058E-5,255,255,255,5.081,0.484,
328,,2.029E-5,255,255,255,6.556,0.484,
329,,2.029E-5,255,255,255,2.448,0.489,
330,,4.058E-5,255,255,255,4.131,0.489,
331,,2.029E-5,255,255,255,6.565,0.489,
332,,2.029E-5,255,255,255,2.439,0.493,
333,,2.029E-5,255,255,255,6.574,0.493,
334,,2.029E-5,255,255,255,2.430,0.498,
335,,4.058E-5,255,255,255,4.419,0.498,
336,,2.029E-5,255,255,255,6.583,0.498,
337,,2.029E-5,255,255,255,2.421,0.502,
338,,2.029E-5,255,255,255,6.592,0.502,
339,,2.029E-5,255,255,255,2.412,0.507,
340,,4.058E-5,255,255,255,6.604,0.509,
341,,2.029E-5,255,255,255,2.403,0.511,
342,,4.058E-5,255,255,255,2.523,0.511,
343,,2.029E-5,255,255,255,2.394,0.516,
344,,2.029E-5,255,255,255,6.615,0.516,
345,,2.029E-5,255,255,255,2.385,0.520,
346,,4.058E-5,255,255,255,3.171,0.520,
347,,4.058E-5,255,255,255,4.523,0.520,
348,,4.058E-5,255,255,255,4.671,0.520,
349,,4.058E-5,255,255,255,5.108,0.520,
350,,2.029E-5,255,255,255,6.624,0.520,
351,,4.058E-5,255,255,255,2.374,0.527,
352,,8.116E-5,255,255,255,3.288,0.527,
353,,2.029E-5,255,255,255,6.633,0.525,
354,,4.058E-5,255,255,255,4.149,0.529,
355,,4.058E-5,255,255,255,5.131,0.529,
356,,4.058E-5,255,255,255,5.252,0.529,
357,,2.029E-5,255,255,255,6.642,0.529,
358,,2.029E-5,255,255,255,2.363,0.534,
359,,4.058E-5,255,255,255,4.599,0.534,
360,,3.652E-4,255,255,255,6.289,0.542,
361,,2.029E-5,255,255,255,6.651,0.534,
362,,2.029E-5,255,255,255,2.354,0.538,
363,,2.029E-5,255,255,255,6.660,0.538,
364,,2.029E-5,255,255,255,2.345,0.543,
365,,4.058E-5,255,255,255,6.671,0.545,
366,,2.029E-5,255,255,255,2.336,0.547,
367,,4.058E-5,255,255,255,2.324,0.554,
368,,4.058E-5,255,255,255,2.604,0.552,
369,,2.029E-5,255,255,255,6.682,0.552,
370,,2.029E-5,255,255,255,6.691,0.556,
371,,2.029E-5,255,255,255,2.313,0.561,
372,,4.058E-5,255,255,255,4.505,0.561,
373,,2.029E-5,255,255,255,6.700,0.561,
374,,2.029E-5,255,255,255,2.304,0.565,
375,,4.058E-5,255,255,255,4.423,0.565,
376,,4.058E-5,255,255,255,6.356,0.565,
377,,4.058E-5,255,255,255,6.712,0.568,
378,,2.029E-5,255,255,255,2.295,0.570,
379,,4.058E-5,255,255,255,2.432,0.570,
380,,4.058E-5,255,255,255,2.284,0.577,
381,,4.058E-5,255,255,255,5.221,0.574,
382,,4.058E-5,255,255,255,5.234,0.574,
383,,2.029E-5,255,255,255,6.723,0.574,
384,,4.058E-5,255,255,255,2.829,0.579,
385,,2.029E-5,255,255,255,6.732,0.579,
386,,2.029E-5,255,255,255,2.273,0.583,
387,,4.058E-5,255,255,255,6.743,0.586,
388,,2.029E-5,255,255,255,2.264,0.588,
389,,4.058E-5,255,255,255,4.338,0.588,
390,,4.058E-5,255,255,255,2.252,0.595,
391,,2.029E-5,255,255,255,6.755,0.592,
392,,6.087E-5,255,255,255,2.827,0.597,
393,,4.058E-5,255,255,255,4.712,0.597,
394,,4.058E-5,255,255,255,5.288,0.597,
395,,2.029E-5,255,255,255,6.764,0.597,
396,,2.029E-5,255,255,255,2.241,0.601,
397,,8.116E-5,255,255,255,2.964,0.604,
398,,4.058E-5,255,255,255,3.315,0.601,
399,,1.420E-4,255,255,255,5.338,0.606,
400,,4.058E-5,255,255,255,6.775,0.604,
401,,4.058E-5,255,255,255,2.230,0.608,
402,,2.029E-5,255,255,255,2.349,0.610,
403,,2.029E-5,255,255,255,6.786,0.610,
404,,2.029E-5,255,255,255,2.218,0.615,
405,,1.623E-4,255,255,255,5.127,0.619,
406,,4.058E-5,255,255,255,6.797,0.617,
407,,4.058E-5,255,255,255,2.207,0.622,
408,,4.058E-5,255,255,255,4.455,0.619,
409,,2.029E-4,255,255,255,4.559,0.625,
410,,4.058E-5,255,255,255,4.766,0.619,
411,,1.015E-4,255,255,255,6.542,0.632,
412,,2.029E-5,255,255,255,6.809,0.624,
413,,2.029E-5,255,255,255,2.196,0.628,
414,,4.058E-5,255,255,255,6.820,0.631,
415,,4.058E-5,255,255,255,2.185,0.635,
416,,4.058E-5,255,255,255,3.266,0.633,
417,,4.058E-5,255,255,255,4.495,0.637,
418,,2.029E-5,255,255,255,6.831,0.637,
419,,2.029E-5,255,255,255,2.173,0.642,
420,,4.058E-5,255,255,255,5.144,0.642,
421,,4.058E-5,255,255,255,6.842,0.644,
422,,4.058E-5,255,255,255,2.162,0.649,
423,,4.058E-5,255,255,255,5.158,0.646,
424,,0.002,255,255,255,6.148,0.675,
425,,4.058E-5,255,255,255,3.644,0.651,
426,,4.058E-5,255,255,255,4.991,0.651,
427,,1.826E-4,255,255,255,6.245,0.655,
428,,2.029E-5,255,255,255,6.854,0.651,
429,,2.029E-5,255,255,255,2.151,0.655,
430,,4.058E-5,255,255,255,6.865,0.658,
431,,4.058E-5,255,255,255,2.140,0.662,
