 ,Area,Mean,Min,Max,X,Y
3687,4.058E-5,255,255,255,3.295,7.212
3688,4.058E-5,255,255,255,4.541,7.209
3689,2.029E-5,255,255,255,5.173,7.209
3690,4.058E-5,255,255,255,5.302,7.212
3691,2.029E-5,255,255,255,6.070,7.209
3692,2.029E-5,255,255,255,6.245,7.209
3693,2.029E-5,255,255,255,3.507,7.214
3694,2.029E-5,255,255,255,4.570,7.214
3695,2.029E-5,255,255,255,5.218,7.214
3696,2.029E-5,255,255,255,7.205,7.214
3697,2.029E-5,255,255,255,2.777,7.218
3698,2.029E-5,255,255,255,3.322,7.218
3699,2.029E-5,255,255,255,4.673,7.218
3700,2.029E-5,255,255,255,5.236,7.218
3701,2.029E-5,255,255,255,8.016,7.218
3702,2.029E-5,255,255,255,1.182,7.223
3703,2.029E-5,255,255,255,2.209,7.223
3704,2.029E-5,255,255,255,3.390,7.223
3705,4.058E-5,255,255,255,4.899,7.225
3706,2.029E-5,255,255,255,5.286,7.223
3707,2.029E-5,255,255,255,6.007,7.223
3708,2.029E-5,255,255,255,6.966,7.223
3709,2.029E-5,255,255,255,8.025,7.223
3710,2.029E-5,255,255,255,3.403,7.227
3711,2.029E-5,255,255,255,4.750,7.227
3712,2.029E-5,255,255,255,5.020,7.227
3713,2.029E-5,255,255,255,5.264,7.227
3714,2.029E-5,255,255,255,1.074,7.232
3715,2.029E-5,255,255,255,1.511,7.232
3716,2.029E-5,255,255,255,4.804,7.232
3717,2.029E-5,255,255,255,4.957,7.232
3718,4.058E-5,255,255,255,5.773,7.234
3719,4.058E-5,255,255,255,3.980,7.239
3720,2.029E-5,255,255,255,5.304,7.241
3721,2.029E-5,255,255,255,5.340,7.241
3722,0.001,255,255,255,3.142,7.261
3723,2.029E-5,255,255,255,4.966,7.245
3724,2.029E-5,255,255,255,1.741,7.250
3725,2.029E-5,255,255,255,3.579,7.250
3726,2.029E-5,255,255,255,4.119,7.250
3727,2.029E-5,255,255,255,4.818,7.250
3728,6.087E-5,255,255,255,1.764,7.255
3729,2.029E-5,255,255,255,5.917,7.255
3730,2.029E-5,255,255,255,0.975,7.259
3731,2.029E-5,255,255,255,1.678,7.259
3732,2.029E-5,255,255,255,3.340,7.259
3733,2.029E-5,255,255,255,1.209,7.264
3734,2.029E-5,255,255,255,1.453,7.264
3735,2.029E-5,255,255,255,1.471,7.264
3736,2.029E-5,255,255,255,1.786,7.264
3737,2.029E-5,255,255,255,1.872,7.264
3738,4.058E-5,255,255,255,1.977,7.264
3739,2.029E-5,255,255,255,2.538,7.264
3740,2.029E-5,255,255,255,3.196,7.264
3741,2.029E-5,255,255,255,3.935,7.264
3742,2.029E-5,255,255,255,3.984,7.264
3743,2.029E-5,255,255,255,4.926,7.264
3744,2.029E-5,255,255,255,1.421,7.268
3745,2.029E-5,255,255,255,1.462,7.268
3746,2.029E-5,255,255,255,1.894,7.268
3747,2.029E-5,255,255,255,4.723,7.268
3748,2.029E-5,255,255,255,7.070,7.268
3749,2.029E-5,255,255,255,7.133,7.268
3750,2.029E-5,255,255,255,1.444,7.273
3751,2.029E-5,255,255,255,1.800,7.273
3752,2.029E-5,255,255,255,3.736,7.273
3753,2.029E-5,255,255,255,5.218,7.273
3754,2.029E-5,255,255,255,5.259,7.273
3755,2.029E-5,255,255,255,1.791,7.277
3756,2.029E-5,255,255,255,4.016,7.277
3757,2.029E-5,255,255,255,5.169,7.282
3758,2.029E-5,255,255,255,3.714,7.286
3759,2.029E-5,255,255,255,3.782,7.286
3760,2.029E-5,255,255,255,4.236,7.286
3761,2.029E-5,255,255,255,1.236,7.291
3762,2.029E-5,255,255,255,1.245,7.291
3763,2.029E-5,255,255,255,1.516,7.291
3764,2.029E-5,255,255,255,1.759,7.291
3765,2.029E-5,255,255,255,2.777,7.291
3766,4.058E-5,255,255,255,3.752,7.291
3767,4.058E-5,255,255,255,3.797,7.291
3768,2.029E-5,255,255,255,3.917,7.291
3769,2.029E-5,255,255,255,7.020,7.291
3770,2.029E-5,255,255,255,1.782,7.295
3771,4.058E-5,255,255,255,4.644,7.295
3772,8.116E-5,255,255,255,1.226,7.304
3773,2.029E-5,255,255,255,1.259,7.300
3774,2.029E-5,255,255,255,1.759,7.300
3775,4.058E-5,255,255,255,1.791,7.302
3776,2.029E-5,255,255,255,1.800,7.300
3777,2.029E-5,255,255,255,3.480,7.300
3778,2.029E-5,255,255,255,4.899,7.300
3779,2.029E-5,255,255,255,7.696,7.304
3780,4.058E-5,255,255,255,1.250,7.311
3781,2.029E-5,255,255,255,2.187,7.309
3782,2.029E-5,255,255,255,3.128,7.309
3783,2.029E-5,255,255,255,3.412,7.309
3784,2.029E-5,255,255,255,3.682,7.309
3785,4.058E-5,255,255,255,4.505,7.309
3786,2.029E-5,255,255,255,4.718,7.309
3787,2.029E-5,255,255,255,4.854,7.309
3788,2.029E-5,255,255,255,6.948,7.309
3789,2.029E-5,255,255,255,7.191,7.309
3790,2.029E-5,255,255,255,5.511,7.313
3791,2.029E-5,255,255,255,1.200,7.318
3792,2.029E-5,255,255,255,6.782,7.318
3793,2.029E-5,255,255,255,6.971,7.318
3794,2.029E-5,255,255,255,7.043,7.318
3795,4.058E-5,255,255,255,1.214,7.324
3796,2.029E-5,255,255,255,1.241,7.322
3797,2.029E-5,255,255,255,1.187,7.327
3798,2.029E-5,255,255,255,6.957,7.327
3799,2.029E-5,255,255,255,7.029,7.327
3800,2.029E-5,255,255,255,7.282,7.327
3801,2.029E-5,255,255,255,1.227,7.331
3802,2.029E-5,255,255,255,2.160,7.331
3803,2.029E-5,255,255,255,4.660,7.331
3804,4.058E-5,255,255,255,4.698,7.331
